Timestamp,MemFree,Slab_Unreclaimable,Slab_Reclaimable,Slab_Active_Objs,Slab_Total_Objs,Frag_Index_Order_0,Frag_Index_Order_10,Context_Switches,Benchmark_Latency
2026-05-05T23:56:03.592986,651304,126956,90780,926634,1162556,0.7976,0.7976,812386679,0.10265040397644043
2026-05-05T23:56:05.765169,595108,126956,90780,926349,1162556,0.7785,0.7785,812388582,0.12109899520874023
2026-05-05T23:56:07.930848,546892,126956,90780,926451,1162556,0.7589,0.7589,812390601,0.1123037338256836
2026-05-05T23:56:10.104711,498832,126956,90780,926330,1162556,0.7357,0.7357,812392364,0.12502336502075195
2026-05-05T23:56:12.244289,441892,126956,90780,926408,1162556,0.7016,0.7016,812394128,0.0934138298034668
2026-05-05T23:56:14.395081,377384,126956,90780,926525,1162556,0.6506,0.6506,812395702,0.10193204879760742
2026-05-05T23:56:16.543569,242156,126956,90780,926883,1162556,0.6427,0.6427,812397567,0.10025477409362793
2026-05-05T23:56:18.689227,169312,126956,90780,927145,1162556,0.746,0.746,812399388,0.09598159790039062
2026-05-05T23:56:20.835800,121064,126956,90780,927064,1162556,0.8731,0.8731,812401004,0.09865760803222656
2026-05-05T23:56:23.032323,93872,126956,90780,928376,1162556,0.8381,0.8381,812402702,0.13524460792541504
