Timestamp,MemFree,Slab_Unreclaimable,Slab_Reclaimable,Slab_Active_Objs,Slab_Total_Objs,Frag_Index_Order_0,Frag_Index_Order_10,Context_Switches,Benchmark_Latency
2026-05-05T23:41:03.273724,848728,129224,91816,0,0,0.8601,0.8601,811795245,0.07731938362121582
2026-05-05T23:41:05.374611,800616,129224,91816,0,0,0.8516,0.8516,811798841,0.07853031158447266
2026-05-05T23:41:07.473691,761352,129224,91816,0,0,0.844,0.844,811801884,0.07707715034484863
2026-05-05T23:41:09.574124,705328,129224,91816,0,0,0.8316,0.8316,811805012,0.0783381462097168
2026-05-05T23:41:11.672274,665588,129224,91816,0,0,0.8215,0.8215,811808148,0.07680344581604004
2026-05-05T23:41:13.774942,609648,129224,91816,0,0,0.8052,0.8052,811811045,0.07941246032714844
2026-05-05T23:41:15.875630,553628,129224,91816,0,0,0.7854,0.7854,811813977,0.07658529281616211
2026-05-05T23:41:17.977947,490672,129224,91816,0,0,0.7579,0.7579,811817002,0.07896041870117188
2026-05-05T23:41:20.078496,450652,129224,91816,0,0,0.7364,0.7364,811820029,0.07755017280578613
2026-05-05T23:56:25.301276,816068,126956,90780,939038,1162556,0.8716,0.8716,812404564,0.08176159858703613
2026-05-05T23:56:27.473695,754024,126956,90780,938739,1162556,0.861,0.861,812406136,0.12387204170227051
2026-05-05T23:56:27.563181,853100,126956,90780,938651,1162556,0.8772,0.8772,812406372,0.07987022399902344
2026-05-05T23:56:35.904430,1401696,119712,42044,801709,1044835,0.8932,0.8932,812414232,0.12337207794189453
2026-05-05T23:56:38.051790,1345524,119712,42044,801952,1044835,0.8887,0.8887,812415920,0.0979149341583252
2026-05-05T23:56:40.233562,1297388,119712,42044,801783,1044835,0.8846,0.8846,812417488,0.13392233848571777
2026-05-05T23:56:40.343934,1343248,119712,42044,801545,1044835,0.8885,0.8885,812417754,0.0979766845703125
2026-05-05T23:56:48.048131,1371200,119684,41552,801344,1043171,0.8906,0.8906,812424161,0.14518499374389648
2026-05-05T23:56:50.195763,1326944,119684,41552,801560,1043171,0.8869,0.8869,812426245,0.09718036651611328
2026-05-05T23:56:52.344038,1266856,119684,41552,801329,1043171,0.8816,0.8816,812427869,0.10063767433166504
2026-05-05T23:56:54.485208,1220728,119684,41552,801626,1043171,0.8771,0.8771,812429620,0.09395909309387207
2026-05-08T02:30:21.421711,758280,129448,55076,1068757,1429572,0.7972,0.7972,1174237600,0.0
2026-05-08T02:30:23.969575,518520,129304,55076,1040778,1429598,0.7184,0.7184,1174251299,0.0
2026-05-08T02:30:26.530715,513084,129300,55076,1038663,1429582,0.7055,0.7055,1174260713,0.0
2026-05-08T02:30:29.110954,473116,129236,55052,1032927,1429506,0.7302,0.7302,1174273057,0.0
2026-05-08T02:30:31.675787,419720,129244,55052,1030876,1429540,0.7469,0.7469,1174282711,0.0
2026-05-08T02:30:34.238446,349724,129244,55004,1030805,1429471,0.6983,0.6983,1174292046,0.0
2026-05-08T02:30:36.844552,303424,129212,55000,1025277,1429450,0.7725,0.7725,1174301884,0.0
2026-05-08T02:30:39.387943,237220,129244,55000,1023023,1429450,0.7658,0.7658,1174311036,0.0
2026-05-08T02:30:41.973388,166188,129248,55000,1019942,1429467,0.7327,0.7327,1174320865,0.0
2026-05-08T02:30:44.548665,89132,129252,55000,1018746,1429484,0.7989,0.7989,1174330768,0.0
2026-05-08T02:30:47.171985,193740,129228,55000,1002347,1428112,0.8166,0.8166,1174340068,0.0
2026-05-08T02:30:49.741241,137040,129232,55000,1001231,1428129,0.8627,0.8627,1174347537,0.0
2026-05-08T02:30:52.298544,91208,129200,55000,1001029,1428121,0.85,0.85,1174355467,0.0
2026-05-08T02:30:54.967982,91044,129188,55000,1015720,1428030,0.8611,0.8611,1174366172,0.0
2026-05-08T02:30:57.703060,88044,129156,55000,1030719,1428022,0.8494,0.8494,1174378112,0.0
2026-05-08T02:31:00.424559,89164,129156,55000,1042231,1428022,0.8357,0.8357,1174387014,0.0
2026-05-08T02:31:03.079418,86652,129156,55000,1049271,1428022,0.8576,0.8576,1174394570,0.0
2026-05-08T02:31:05.673535,98756,129156,55000,1057118,1428022,0.8688,0.8688,1174401907,0.0
2026-05-08T02:31:08.254529,101532,129172,55000,1045378,1427994,0.8735,0.8735,1174413953,0.0
2026-05-08T02:31:10.819182,87944,129188,55000,1051296,1427968,0.854,0.854,1174421689,0.0
2026-05-08T02:31:13.414535,110832,129156,55000,1056754,1427960,0.8399,0.8399,1174430896,0.0
2026-05-08T02:31:15.968238,92256,129168,55000,1062417,1428155,0.8531,0.8531,1174445454,0.0
2026-05-08T02:31:18.568458,93840,129168,55000,1070350,1428155,0.8294,0.8294,1174453418,0.0
2026-05-08T02:31:21.130033,90128,129200,55000,1054774,1428163,0.8567,0.8567,1174462018,0.0
2026-05-08T02:33:20.840894,1106652,129212,55188,1086984,1422556,0.8368,0.8368,1174915906,0.5525033473968506
2026-05-08T02:33:23.420245,1035252,129212,55188,1084381,1422556,0.8256,0.8256,1174923461,0.5403711795806885
2026-05-08T02:33:25.986284,981248,129212,55188,1084141,1422556,0.8135,0.8135,1174930387,0.5335025787353516
2026-05-08T02:33:28.514632,920188,129288,55188,1082323,1422535,0.8012,0.8012,1174938335,0.5061874389648438
2026-05-08T02:33:31.102485,863516,129288,55188,1081927,1422535,0.7881,0.7881,1174945808,0.5655531883239746
2026-05-08T02:33:31.639265,863252,129288,55188,1081937,1422535,0.788,0.788,1174947342,0.5323867797851562
2026-05-08T02:33:45.899894,1414616,127748,41156,1029218,1392797,0.8564,0.8564,1174996492,0.5213148593902588
2026-05-08T02:33:48.514224,1368388,127748,41156,1029240,1392797,0.8515,0.8515,1175003359,0.5793912410736084
2026-05-08T02:33:49.100243,1368140,127748,41156,1029282,1392797,0.8515,0.8515,1175005276,0.5387783050537109
2026-05-08T02:34:03.010220,1523536,127668,40964,1038136,1392347,0.857,0.857,1175052146,0.5331094264984131
2026-05-08T02:34:05.558519,1467032,127668,40964,1038268,1392347,0.8515,0.8515,1175059565,0.5228657722473145
2026-05-08T02:34:08.148985,1408572,127652,40836,1038143,1392087,0.8454,0.8454,1175068452,0.5556216239929199
2026-05-08T02:34:10.693342,1364536,127652,40836,1037944,1392087,0.8404,0.8404,1175075709,0.5118465423583984
2026-05-08T02:34:13.257058,1300204,127652,40836,1037909,1392087,0.8325,0.8325,1175082829,0.5316145420074463
2026-05-08T02:34:16.021352,1166584,127784,40836,1026773,1392121,0.8133,0.8133,1175091906,0.7416679859161377
2026-05-08T02:34:16.526643,1094236,127664,40836,1016464,1391983,0.8009,0.8009,1175095064,0.5007548332214355
2026-05-08T02:34:30.525161,1368624,127484,40756,1017838,1391762,0.8559,0.8559,1175139846,0.5659308433532715
